id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,45148,TON,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,64889,TON,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12965,TON,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,2623,TON,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,67,TON,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,16398,TON,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,43824,TON,2022
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,72437,TON,2022
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,15742,TON,2022
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,TON,2022
167,32,JAWA BARAT,3205,KABUPATEN GARUT,24150,TON,2022
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,68,TON,2022
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,TON,2022
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,TON,2022
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2022
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2022
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,TON,2022
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,TON,2022
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,19664,TON,2022
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2022
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2022
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2022
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,TON,2022
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2022
181,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2022
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2022
183,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2022
184,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2022
185,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2022
186,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2022
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2022
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2022
189,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2022
