id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_padi,satuan,tahun
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,785685.0,TON,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,882490.0,TON,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,907838.0,TON,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,420910.0,TON,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,355155.0,TON,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,583480.0,TON,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,793448.0,TON,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,622907.0,TON,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1795707.0,TON,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,1388079.0,TON,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,268877.0,TON,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1341661.0,TON,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,413190.0,TON,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,344681.0,TON,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,216910.0,TON,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,4275.0,TON,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,27685.0,TON,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,13955.0,TON,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,1298.0,TON,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,4969.0,TON,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,665.0,TON,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,1847.0,TON,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,63924.0,TON,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,42072.0,TON,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,403848.0,TON,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,885869.0,TON,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,852212.0,TON,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,550372.0,TON,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,659469.0,TON,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,670231.0,TON,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,358157.0,TON,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,332462.0,TON,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,506027.0,TON,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,612795.0,TON,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,425506.0,TON,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1345271.0,TON,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,1016605.0,TON,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,209408.0,TON,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1036257.0,TON,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,203494.0,TON,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,263789.0,TON,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,161427.0,TON,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,2622.0,TON,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,20166.0,TON,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,9025.0,TON,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,955.0,TON,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,2278.0,TON,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,494.0,TON,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,1143.0,TON,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,49475.0,TON,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,35762.0,TON,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,285154.0,TON,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,492926.3,TON,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,611773.0,TON,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,310715.2,TON,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,443319.9,TON,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,445909.2,TON,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,320330.7,TON,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,275893.2,TON,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,464730.7,TON,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,534250.2,TON,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,262037.8,TON,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1319624.0,TON,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,959456.4,TON,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,167865.3,TON,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1234134.0,TON,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,587586.1,TON,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,146494.6,TON,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,140000.7,TON,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,172.1,TON,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,15123.41,TON,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,7097.77,TON,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,1244.61,TON,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,2304.54,TON,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,244.35,TON,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,442.71,TON,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,49118.08,TON,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,35624.74,TON,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,299893.8,TON,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,508220.48,TON,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,617941.03,TON,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,289205.7,TON,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,441316.2,TON,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,430961.73,TON,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,305676.17,TON,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,277583.76,TON,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,494699.98,TON,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,566087.34,TON,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,298163.0,TON,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1482255.86,TON,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,1038780.58,TON,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,188731.69,TON,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1226880.08,TON,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,555747.09,TON,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,153648.29,TON,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,148670.61,TON,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,173.99,TON,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,13254.34,TON,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,7186.11,TON,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,861.82,TON,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,1868.44,TON,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,72.13,TON,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,338.03,TON,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,54233.66,TON,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,31271.18,TON,2022
